iter	Passed	Remaining
0	2	4478
1	4	3999
2	5	3759
3	7	3604
4	8	3490
5	10	3424
6	12	3619
7	14	3622
8	16	3547
9	17	3490
10	19	3440
11	20	3398
12	22	3387
13	23	3362
14	25	3332
15	26	3316
16	29	3418
17	30	3391
18	32	3367
19	33	3343
20	35	3320
21	36	3304
22	38	3291
23	39	3275
24	41	3257
25	42	3242
26	44	3273
27	46	3275
28	48	3263
29	49	3249
30	50	3237
31	52	3226
32	53	3213
33	55	3203
34	56	3193
35	58	3185
36	60	3216
37	62	3214
38	63	3206
39	65	3202
40	66	3194
41	68	3187
42	69	3181
43	71	3173
44	72	3165
45	74	3157
46	75	3150
47	78	3181
48	79	3175
49	81	3167
50	82	3160
51	84	3151
52	85	3143
53	86	3134
54	88	3126
55	89	3118
56	91	3124
57	93	3145
58	95	3143
59	97	3139
60	98	3131
61	99	3123
62	101	3115
63	102	3109
64	104	3104
65	105	3098
66	107	3096
67	109	3112
68	111	3111
69	112	3105
70	114	3100
71	115	3095
72	117	3090
73	118	3084
74	119	3078
75	121	3073
76	122	3068
77	125	3087
78	126	3087
79	128	3083
80	129	3077
81	131	3072
82	132	3068
83	134	3064
84	135	3059
85	137	3054
86	138	3049
87	140	3049
88	143	3079
89	144	3074
90	146	3069
91	147	3064
92	149	3058
93	150	3053
94	152	3049
95	153	3043
96	154	3038
97	156	3033
98	158	3044
99	160	3042
100	161	3038
101	162	3032
102	164	3027
103	165	3023
104	167	3019
105	168	3014
106	170	3010
107	171	3005
108	173	3001
109	175	3016
110	177	3012
111	178	3008
112	179	3004
113	181	3002
114	182	2997
115	184	2993
116	185	2989
117	187	2985
118	188	2986
119	191	3002
120	193	3000
121	194	2996
122	196	2992
123	197	2988
124	199	2985
125	200	2980
126	202	2979
127	203	2975
128	205	2974
129	206	2977
130	208	2977
131	210	2974
132	211	2971
133	213	2967
134	214	2963
135	215	2959
136	217	2955
137	218	2951
138	220	2949
139	221	2946
140	224	2953
141	225	2951
142	226	2947
143	228	2943
144	229	2939
145	231	2936
146	232	2932
147	234	2928
148	235	2925
149	236	2922
150	238	2918
151	240	2922
152	241	2918
153	243	2914
154	244	2911
155	245	2907
156	247	2904
157	248	2900
158	250	2896
159	251	2893
160	252	2889
161	254	2891
162	256	2890
163	258	2888
164	259	2885
165	260	2881
166	262	2878
167	263	2874
168	265	2871
169	266	2867
170	267	2864
171	269	2861
172	271	2867
173	273	2865
174	274	2862
175	275	2858
176	277	2855
177	278	2851
178	279	2848
179	281	2845
180	282	2843
181	284	2840
182	285	2837
183	302	2990
184	305	2997
185	307	2994
186	308	2989
187	309	2985
188	311	2981
189	312	2977
190	313	2973
191	315	2969
192	316	2966
193	318	2963
194	320	2964
195	321	2961
196	323	2958
197	324	2954
198	326	2950
199	327	2946
200	328	2943
201	330	2939
202	331	2936
203	333	2932
204	334	2929
205	336	2931
206	338	2930
207	339	2927
208	341	2924
209	342	2921
210	344	2918
211	345	2914
212	347	2911
213	348	2909
214	349	2905
215	351	2906
216	354	2909
217	355	2907
218	357	2904
219	358	2901
220	360	2899
221	361	2896
222	363	2892
223	364	2889
224	365	2885
225	367	2882
226	369	2885
227	370	2882
228	372	2878
229	373	2875
230	375	2872
231	376	2869
232	377	2866
233	379	2863
234	380	2860
235	382	2857
236	383	2855
237	386	2863
238	388	2862
239	390	2861
240	391	2857
241	392	2854
242	394	2851
243	395	2848
244	397	2845
245	398	2841
246	399	2838
247	402	2840
248	403	2839
249	405	2836
250	406	2834
251	408	2831
252	409	2828
253	411	2825
254	412	2823
255	413	2820
256	415	2817
257	416	2815
258	419	2818
259	420	2815
260	422	2813
261	423	2810
262	425	2807
263	426	2804
264	427	2801
265	429	2798
266	430	2795
267	432	2792
268	434	2795
269	436	2794
270	437	2791
271	438	2788
272	440	2785
273	441	2782
274	443	2779
275	444	2777
276	445	2774
277	447	2771
278	449	2771
279	451	2774
280	453	2771
281	454	2769
282	455	2766
283	457	2763
284	458	2760
285	460	2757
286	461	2755
287	463	2752
288	464	2751
289	467	2754
290	468	2752
291	470	2749
292	471	2746
293	472	2743
294	474	2741
295	475	2739
296	477	2736
297	478	2734
298	480	2731
299	481	2729
300	484	2732
301	485	2729
302	486	2727
303	488	2725
304	489	2722
305	491	2720
306	492	2718
307	494	2715
308	495	2713
309	497	2710
310	499	2712
311	500	2709
312	502	2707
313	503	2704
314	505	2702
315	506	2699
316	507	2696
317	509	2693
318	510	2691
319	512	2688
320	513	2686
321	515	2688
322	517	2686
323	518	2683
324	520	2681
325	521	2679
326	523	2676
327	524	2674
328	526	2672
329	527	2670
330	529	2670
331	531	2670
332	533	2668
333	534	2666
334	536	2664
335	537	2661
336	538	2659
337	540	2656
338	541	2654
339	543	2651
340	544	2649
341	545	2646
342	548	2648
343	549	2646
344	551	2644
345	552	2641
346	554	2639
347	555	2636
348	556	2634
349	558	2632
350	559	2629
351	561	2627
352	562	2625
353	564	2626
354	566	2624
355	567	2621
356	569	2619
357	570	2616
358	571	2614
359	573	2612
360	574	2609
361	576	2607
362	577	2604
363	579	2602
364	581	2603
365	582	2601
366	584	2598
367	585	2596
368	586	2594
369	588	2592
370	589	2589
371	591	2587
372	592	2585
373	594	2583
374	595	2582
375	597	2582
376	599	2579
377	600	2577
378	602	2575
379	603	2573
380	605	2571
381	606	2569
382	608	2567
383	609	2565
384	611	2563
385	613	2563
386	614	2561
387	616	2559
388	617	2557
389	618	2554
390	620	2552
391	621	2550
392	623	2547
393	624	2545
394	625	2543
395	627	2541
396	629	2541
397	631	2540
398	632	2537
399	633	2535
400	635	2533
401	636	2531
402	638	2528
403	639	2526
404	640	2524
405	642	2522
406	643	2520
407	646	2523
408	648	2520
409	649	2518
410	650	2516
411	652	2514
412	653	2511
413	655	2509
414	656	2507
415	658	2505
416	659	2503
417	661	2504
418	663	2503
419	665	2501
420	666	2499
421	667	2497
422	669	2495
423	670	2493
424	672	2491
425	673	2489
426	675	2487
427	677	2489
428	679	2488
429	680	2485
430	682	2483
431	683	2481
432	685	2479
433	686	2477
434	687	2475
435	689	2473
436	690	2471
437	693	2472
438	695	2472
439	696	2470
440	698	2468
441	699	2466
442	701	2463
443	702	2461
444	703	2459
445	705	2457
446	706	2455
447	708	2453
448	710	2453
449	711	2451
450	713	2449
451	714	2447
452	716	2445
453	717	2443
454	718	2441
455	720	2439
456	721	2436
457	723	2434
458	724	2433
459	742	2486
460	745	2488
461	747	2488
462	749	2488
463	751	2488
464	753	2488
465	755	2486
466	757	2485
467	759	2486
468	761	2484
469	762	2482
470	763	2480
471	765	2477
472	766	2475
473	768	2473
474	769	2471
475	771	2468
476	772	2466
477	774	2465
478	776	2466
479	778	2464
480	779	2462
481	781	2460
482	782	2458
483	784	2455
484	785	2453
485	786	2451
486	788	2449
487	789	2447
488	792	2447
489	793	2445
490	795	2443
491	796	2441
492	797	2439
493	799	2436
494	800	2434
495	802	2432
496	803	2430
497	805	2428
498	806	2427
499	808	2426
500	810	2424
501	811	2422
502	813	2421
503	815	2419
504	816	2417
505	818	2415
506	819	2413
507	820	2411
508	822	2409
509	824	2409
510	826	2407
511	827	2405
512	829	2403
513	830	2400
514	831	2398
515	833	2396
516	834	2394
517	836	2392
518	837	2391
519	840	2391
520	842	2390
521	843	2389
522	845	2387
523	846	2385
524	848	2384
525	850	2382
526	851	2380
527	853	2379
528	855	2378
529	857	2378
530	859	2376
531	860	2375
532	862	2373
533	864	2372
534	865	2371
535	867	2370
536	869	2369
537	871	2368
538	873	2368
539	875	2368
540	877	2366
541	879	2365
542	880	2363
543	882	2361
544	884	2360
545	885	2358
546	887	2357
547	891	2361
548	892	2359
549	894	2357
550	895	2356
551	897	2354
552	899	2352
553	900	2350
554	902	2349
555	904	2349
556	906	2348
557	908	2346
558	909	2344
559	911	2345
560	913	2343
561	915	2341
562	916	2340
563	918	2338
564	920	2338
565	922	2336
566	923	2335
567	925	2334
568	927	2333
569	929	2331
570	930	2329
571	932	2328
572	934	2326
573	935	2324
574	940	2330
575	942	2328
576	943	2327
577	945	2325
578	946	2323
579	948	2321
580	949	2320
581	951	2318
582	953	2318
583	955	2316
584	957	2315
585	958	2313
586	960	2311
587	961	2309
588	963	2308
589	965	2306
590	966	2304
591	968	2302
592	970	2303
593	972	2301
594	973	2299
595	975	2297
596	977	2296
597	978	2294
598	980	2293
599	982	2291
600	983	2289
601	985	2289
602	987	2288
603	989	2286
604	990	2284
605	992	2282
606	993	2280
607	995	2278
608	996	2276
609	998	2274
610	999	2272
611	1001	2271
612	1003	2270
613	1004	2268
614	1006	2266
615	1007	2264
616	1009	2262
617	1010	2260
618	1012	2258
619	1013	2256
620	1015	2254
621	1016	2252
622	1018	2251
623	1020	2250
624	1021	2248
625	1023	2246
626	1024	2244
627	1026	2242
628	1027	2240
629	1029	2238
630	1030	2236
631	1032	2234
632	1033	2232
633	1035	2231
634	1037	2230
635	1038	2228
636	1040	2226
637	1041	2223
638	1043	2222
639	1044	2220
640	1046	2218
641	1047	2216
642	1049	2214
643	1052	2215
644	1053	2213
645	1055	2211
646	1056	2210
647	1058	2208
648	1059	2206
649	1061	2204
650	1062	2202
651	1064	2200
652	1065	2198
653	1068	2198
654	1069	2196
655	1071	2194
656	1072	2193
657	1074	2191
658	1075	2189
659	1077	2187
660	1078	2185
661	1080	2183
662	1082	2182
663	1084	2181
664	1085	2180
665	1087	2178
666	1088	2176
667	1090	2174
668	1091	2172
669	1093	2170
670	1094	2168
671	1096	2166
672	1097	2164
673	1100	2164
674	1101	2162
675	1103	2161
676	1104	2159
677	1106	2157
678	1107	2155
679	1109	2153
680	1110	2151
681	1112	2149
682	1114	2148
683	1116	2147
684	1117	2146
685	1119	2144
686	1121	2142
687	1122	2140
688	1124	2139
689	1125	2137
690	1127	2135
691	1128	2133
692	1130	2132
693	1132	2131
694	1134	2129
695	1135	2127
696	1137	2126
697	1138	2124
698	1140	2122
699	1141	2120
700	1143	2118
701	1144	2116
702	1146	2114
703	1148	2113
704	1149	2112
705	1151	2110
706	1152	2108
707	1154	2106
708	1156	2105
709	1157	2103
710	1159	2101
711	1160	2099
712	1162	2097
713	1164	2097
714	1166	2095
715	1167	2093
716	1169	2092
717	1170	2090
718	1172	2089
719	1174	2087
720	1176	2086
721	1177	2084
722	1179	2082
723	1182	2083
724	1183	2081
725	1185	2080
726	1187	2078
727	1188	2076
728	1190	2074
729	1191	2073
730	1193	2071
731	1194	2069
732	1197	2069
733	1213	2093
734	1216	2093
735	1218	2092
736	1220	2091
737	1222	2090
738	1223	2088
739	1225	2086
740	1227	2085
741	1229	2084
742	1231	2083
743	1232	2081
744	1234	2079
745	1235	2077
746	1237	2075
747	1238	2073
748	1240	2071
749	1241	2069
750	1243	2067
751	1245	2066
752	1247	2065
753	1248	2063
754	1250	2061
755	1251	2060
756	1253	2058
757	1255	2056
758	1256	2055
759	1258	2053
760	1260	2051
761	1262	2050
762	1263	2049
763	1265	2047
764	1267	2045
765	1268	2043
766	1270	2042
767	1272	2040
768	1273	2038
769	1275	2037
770	1276	2035
771	1293	2056
772	1310	2080
773	1312	2079
774	1314	2077
775	1316	2075
776	1317	2073
777	1319	2072
778	1320	2070
779	1322	2068
780	1323	2066
781	1325	2064
782	1327	2063
783	1329	2062
784	1330	2060
785	1332	2058
786	1334	2056
787	1335	2054
788	1337	2052
789	1338	2050
790	1340	2048
791	1342	2046
792	1344	2045
793	1345	2043
794	1347	2042
795	1348	2040
796	1350	2038
797	1352	2036
798	1353	2034
799	1355	2033
800	1357	2031
801	1358	2029
802	1361	2029
803	1363	2027
804	1364	2025
805	1366	2024
806	1368	2022
807	1369	2020
808	1371	2019
809	1373	2017
810	1374	2015
811	1377	2015
812	1378	2013
813	1380	2011
814	1382	2009
815	1383	2008
816	1385	2006
817	1387	2004
818	1389	2003
819	1390	2001
820	1392	2000
821	1394	1998
822	1396	1997
823	1398	1995
824	1399	1993
825	1401	1991
826	1403	1990
827	1404	1988
828	1406	1986
829	1408	1986
830	1410	1984
831	1412	1982
832	1414	1981
833	1415	1979
834	1417	1977
835	1419	1975
836	1420	1974
