Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,HouseAge,YearsSinceRemodel,QualCond,TotalBsmtBath,TotalBath,HasBasement,IsHomeNew,HasGarage,HasSecondGarage,MultipleExteriorMaterials,HasMasonryVeneer
1,60,RL,65.0,8450,Missing,3,3,Inside,2,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4,3,1,6,706,1,0,150,856,5,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,4,8,7,0,0,Attchd,2003.0,2,2,548,3,3,2,0,61,0,0,0,0,Missing,Missing,Missing,0,2,2008,WD,Normal,12.24769911637256,2566,6,6,35,1.5,2.5,1,0,1,0,0,1
2,20,RL,80.0,9600,Missing,3,3,FR2,2,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,Missing,0.0,3,3,CBlock,4,3,4,5,978,1,0,284,1262,5,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,7,1,3,Attchd,1976.0,2,2,460,3,3,2,298,0,0,0,0,0,Missing,Missing,Missing,0,5,2007,WD,Normal,12.109016442313738,2524,32,32,48,0.0,2.0,1,0,1,0,0,1
3,60,RL,68.0,11250,Missing,2,3,Inside,2,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4,3,2,6,486,1,0,434,920,5,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,4,6,7,1,3,Attchd,2001.0,2,2,608,3,3,2,0,42,0,0,0,0,Missing,Missing,Missing,0,9,2008,WD,Normal,12.317171167298682,2706,8,7,35,1.5,2.5,1,0,1,0,0,1
4,70,RL,60.0,9550,Missing,2,3,Corner,2,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,Missing,0.0,3,3,BrkTil,3,4,1,5,216,1,0,540,756,4,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,4,7,7,1,4,Detchd,1998.0,1,3,642,3,3,2,0,35,272,0,0,0,Missing,Missing,Missing,0,2,2006,WD,Abnorml,11.849404844423074,2473,92,37,35,1.5,1.0,1,0,1,0,1,1
5,60,RL,84.0,14260,Missing,2,3,FR2,2,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4,3,3,6,655,1,0,490,1145,5,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,4,9,7,1,3,Attchd,2000.0,2,3,836,3,3,2,192,84,0,0,0,0,Missing,Missing,Missing,0,12,2008,WD,Normal,12.429220196836383,3343,9,9,40,1.5,2.5,1,0,1,0,0,1
6,50,RL,85.0,14115,Missing,2,3,Inside,2,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,Missing,0.0,3,3,Wood,4,3,1,6,732,1,0,64,796,5,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,7,0,0,Attchd,1993.0,1,2,480,3,3,2,40,30,0,320,0,0,Missing,MnPrv,Shed,700,10,2009,WD,Normal,11.870606902224587,2158,17,15,25,1.5,1.5,1,0,1,0,0,1
7,20,RL,75.0,10084,Missing,3,3,Inside,2,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5,3,3,6,1369,1,0,317,1686,5,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,4,7,7,1,4,Attchd,2004.0,2,2,636,3,3,2,255,57,0,0,0,0,Missing,Missing,Missing,0,8,2007,WD,Normal,12.634606283893019,3380,4,3,40,1.5,2.0,1,0,1,0,0,1
8,60,RL,68.0,10382,Missing,2,3,Corner,2,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,2,5,859,4,32,216,1107,5,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,7,2,3,Attchd,1973.0,2,2,484,3,3,2,235,204,228,0,0,0,Missing,Missing,Shed,350,11,2009,WD,Normal,12.206077645517674,3197,37,37,42,1.5,2.5,1,0,1,0,0,1
9,50,RM,51.0,6120,Missing,3,3,Inside,2,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,Missing,0.0,3,3,BrkTil,3,3,1,1,0,1,0,952,952,4,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,3,8,6,2,3,Detchd,1931.0,1,2,468,2,3,2,90,0,205,0,0,0,Missing,Missing,Missing,0,4,2008,WD,Abnorml,11.774527900858468,2726,78,59,35,0.0,2.0,1,0,1,0,1,1
10,190,RL,50.0,7420,Missing,3,3,Corner,2,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,Missing,0.0,3,3,BrkTil,3,3,1,6,851,1,0,140,991,5,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,7,2,3,Attchd,1939.0,2,1,205,4,3,2,0,4,0,0,0,0,Missing,Missing,Missing,0,1,2008,WD,Normal,11.678448377988165,2068,70,59,30,1.5,1.0,1,0,1,0,0,1
