Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,HouseAge,QualCond,GrLivArea_squared,TotalBsmtSF_squared,1stFlrSF_squared,GarageArea_squared,TotRmsAbvGrd_squared,OverallQual_squared,ExterQual_squared,KitchenQual_squared,GarageCars_squared,BsmtQual_squared,HeatingQC_squared,HouseAge_squared
1,60,RL,65.0,8450,3,3,Inside,2,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,196.0,,3,PConc,,3.0,1.0,6.0,706,1.0,0,150,856,,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,,8,7,0,,Attchd,2003.0,2.0,2,548,3.0,3.0,2,0,61,0,0,0,0,0,2,2008,WD,Normal,12.24769911637256,2566,5,35,2924100,732736,732736,300304,64,49,0.0,0.0,4,0.0,0.0,25
2,20,RL,80.0,9600,3,3,FR2,2,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,0.0,,3,CBlock,,3.0,4.0,5.0,978,1.0,0,284,1262,,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,,6,7,1,3.0,Attchd,1976.0,2.0,2,460,3.0,3.0,2,298,0,0,0,0,0,0,5,2007,WD,Normal,12.109016442313738,2524,31,48,1592644,1592644,1592644,211600,36,36,0.0,0.0,4,0.0,0.0,961
3,60,RL,68.0,11250,2,3,Inside,2,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,162.0,,3,PConc,,3.0,2.0,6.0,486,1.0,0,434,920,,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,,6,7,1,3.0,Attchd,2001.0,2.0,2,608,3.0,3.0,2,0,42,0,0,0,0,0,9,2008,WD,Normal,12.317171167298682,2706,7,35,3189796,846400,846400,369664,36,49,0.0,0.0,4,0.0,0.0,49
4,70,RL,60.0,9550,2,3,Corner,2,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,0.0,,3,BrkTil,,4.0,1.0,5.0,216,1.0,0,540,756,,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,,7,7,1,4.0,Detchd,1998.0,1.0,3,642,3.0,3.0,2,0,35,272,0,0,0,0,2,2006,WD,Abnorml,11.849404844423074,2473,91,35,2948089,571536,923521,412164,49,49,0.0,0.0,9,0.0,0.0,8281
5,60,RL,84.0,14260,2,3,FR2,2,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,350.0,,3,PConc,,3.0,3.0,6.0,655,1.0,0,490,1145,,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,,9,7,1,3.0,Attchd,2000.0,2.0,3,836,3.0,3.0,2,192,84,0,0,0,0,0,12,2008,WD,Normal,12.429220196836383,3343,8,40,4831204,1311025,1311025,698896,81,64,0.0,0.0,9,0.0,0.0,64
6,50,RL,85.0,14115,2,3,Inside,2,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,0.0,,3,Wood,,3.0,1.0,6.0,732,1.0,0,64,796,,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,,5,7,0,,Attchd,1993.0,1.0,2,480,3.0,3.0,2,40,30,0,320,0,0,700,10,2009,WD,Normal,11.870606902224587,2158,16,25,1855044,633616,633616,230400,25,25,0.0,0.0,4,0.0,0.0,256
7,20,RL,75.0,10084,3,3,Inside,2,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,186.0,,3,PConc,,3.0,3.0,6.0,1369,1.0,0,317,1686,,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,,7,7,1,4.0,Attchd,2004.0,2.0,2,636,3.0,3.0,2,255,57,0,0,0,0,0,8,2007,WD,Normal,12.634606283893019,3380,3,40,2869636,2842596,2869636,404496,49,64,0.0,0.0,4,0.0,0.0,9
8,60,RL,68.0,10382,2,3,Corner,2,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,240.0,,3,CBlock,,3.0,2.0,5.0,859,4.0,32,216,1107,,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,,7,7,2,3.0,Attchd,1973.0,2.0,2,484,3.0,3.0,2,235,204,228,0,0,0,350,11,2009,WD,Normal,12.206077645517674,3197,36,42,4368100,1225449,1225449,234256,49,49,0.0,0.0,4,0.0,0.0,1296
9,50,RM,51.0,6120,3,3,Inside,2,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,0.0,,3,BrkTil,,3.0,1.0,1.0,0,1.0,0,952,952,,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,,8,6,2,3.0,Detchd,1931.0,1.0,2,468,2.0,3.0,2,90,0,205,0,0,0,0,4,2008,WD,Abnorml,11.774527900858468,2726,77,35,3147076,906304,1044484,219024,64,49,0.0,0.0,4,0.0,0.0,5929
10,190,RL,50.0,7420,3,3,Corner,2,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,0.0,,3,BrkTil,,3.0,1.0,6.0,851,1.0,0,140,991,,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,,5,7,2,3.0,Attchd,1939.0,2.0,1,205,4.0,3.0,2,0,4,0,0,0,0,0,1,2008,WD,Normal,11.678448377988165,2068,69,30,1159929,982081,1159929,42025,25,25,0.0,0.0,1,0.0,0.0,4761
11,20,RL,70.0,11200,3,3,Inside,2,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,0.0,,3,CBlock,,3.0,1.0,3.0,906,1.0,0,134,1040,,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,,5,7,0,,Detchd,1965.0,1.0,1,384,3.0,3.0,2,0,0,0,0,0,0,0,2,2008,WD,Normal,11.771443882099637,2080,43,25,1081600,1081600,1081600,147456,25,25,0.0,0.0,1,0.0,0.0,1849
12,60,RL,85.0,11924,2,3,Inside,2,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,286.0,,3,PConc,,3.0,1.0,6.0,998,1.0,0,177,1175,,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,,11,7,2,4.0,BuiltIn,2005.0,3.0,3,736,3.0,3.0,2,147,21,0,0,0,0,0,7,2006,New,Partial,12.75130259456002,3499,1,45,5400976,1380625,1397124,541696,121,81,0.0,0.0,9,0.0,0.0,1
13,20,RL,68.0,12968,1,3,Inside,2,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,0.0,,3,CBlock,,3.0,1.0,5.0,737,1.0,0,175,912,,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,,4,7,0,,Detchd,1962.0,1.0,1,352,3.0,3.0,2,140,0,0,0,176,0,0,9,2008,WD,Normal,11.87757552297847,1824,46,30,831744,831744,831744,123904,16,25,0.0,0.0,1,0.0,0.0,2116
14,20,RL,91.0,10652,2,3,Inside,2,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,306.0,,3,PConc,,3.0,3.0,1.0,0,1.0,0,1494,1494,,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,,7,7,1,4.0,Attchd,2006.0,2.0,3,840,3.0,3.0,2,160,33,0,0,0,0,0,8,2007,New,Partial,12.540761149388421,2988,1,35,2232036,2232036,2232036,705600,49,49,0.0,0.0,9,0.0,0.0,1
15,20,RL,68.0,10920,2,3,Corner,2,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,212.0,,3,CBlock,,3.0,1.0,4.0,733,1.0,0,520,1253,,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,,5,7,1,2.0,Attchd,1960.0,2.0,1,352,3.0,3.0,2,0,213,176,0,0,0,0,5,2008,WD,Normal,11.964007453736912,2506,48,30,1570009,1570009,1570009,123904,25,36,0.0,0.0,1,0.0,0.0,2304
16,45,RM,51.0,6120,3,3,Corner,2,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,0.0,,3,BrkTil,,3.0,1.0,1.0,0,1.0,0,832,832,,Y,FuseA,854,0,0,854,0,0,1,0,2,1,,5,7,0,,Detchd,1991.0,1.0,2,576,3.0,3.0,2,48,112,0,0,0,0,0,7,2007,WD,Normal,11.790564777297387,1686,78,56,729316,692224,729316,331776,25,49,0.0,0.0,4,0.0,0.0,6084
17,20,RL,68.0,11241,2,3,CulDSac,2,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,180.0,,3,CBlock,,3.0,1.0,5.0,578,1.0,0,426,1004,,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,,5,7,1,3.0,Attchd,1970.0,3.0,2,480,3.0,3.0,2,0,0,0,0,0,0,700,3,2010,WD,Normal,11.91170829631447,2008,40,42,1008016,1008016,1008016,230400,25,36,0.0,0.0,4,0.0,0.0,1600
18,90,RL,72.0,10791,3,3,Inside,2,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,0.0,,3,Slab,,,,,0,,0,0,0,,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,,6,7,0,,CarPort,1967.0,1.0,2,516,3.0,3.0,2,0,0,0,0,0,0,500,10,2006,WD,Normal,11.407576060361786,1296,39,20,1679616,0,1679616,266256,36,16,0.0,0.0,4,0.0,0.0,1521
19,20,RL,66.0,13695,3,3,Inside,2,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,0.0,,3,PConc,,3.0,1.0,6.0,646,1.0,0,468,1114,,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,,6,7,0,,Detchd,2004.0,1.0,2,576,3.0,3.0,2,0,102,0,0,0,0,0,6,2008,WD,Normal,11.976665770490767,2228,4,25,1240996,1240996,1240996,331776,36,25,0.0,0.0,4,0.0,0.0,16
20,20,RL,70.0,7560,3,3,Inside,2,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,0.0,,3,CBlock,,3.0,1.0,2.0,504,1.0,0,525,1029,,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,,6,6,0,,Attchd,1958.0,1.0,1,294,3.0,3.0,2,0,0,0,0,0,0,0,5,2009,COD,Abnorml,11.842236406331555,2368,51,30,1792921,1058841,1792921,86436,36,25,0.0,0.0,1,0.0,0.0,2601
21,60,RL,101.0,14215,2,3,Corner,2,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,380.0,,3,PConc,,3.0,3.0,1.0,0,1.0,0,1158,1158,,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,,9,7,1,4.0,BuiltIn,2005.0,2.0,3,853,3.0,3.0,2,240,154,0,0,0,0,0,11,2006,New,Partial,12.692506186542177,3534,1,40,5645376,1340964,1340964,727609,81,64,0.0,0.0,9,0.0,0.0,1
22,45,RM,57.0,7449,3,2,Inside,2,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,0.0,,3,PConc,,3.0,1.0,1.0,0,1.0,0,637,637,,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,,6,7,1,4.0,Attchd,1930.0,1.0,1,280,3.0,3.0,0,0,0,205,0,0,0,0,6,2007,WD,Normal,11.845109950883979,1745,77,49,1227664,405769,1227664,78400,36,49,0.0,0.0,1,0.0,0.0,5929
